b=17.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
10,722,1059,1619,2719,4379,6322,7533,7714,6983,5042,3001,1655,940
31,458,683,973,1255,1789,2360,2835,2996,3113,2981,2650,2006,1412
50,279,333,397,611,737,985,1243,1406,1653,1824,1841,1538,1264
70,393,392,458,558,642,780,1070,1341,1489,1688,1657,1498,1142
94,584,538,499,533,579,803,1197,1632,1826,1559,1260,1047,884
110,820,851,872,930,994,1175,1353,1280,1036,733,573,435,307
130,1003,899,762,782,779,970,1178,1071,871,655,517,460,366
150,537,395,269,301,343,517,629,582,391,262,235,286,334
178,692,575,437,389,536,911,956,741,393,278,254,298,294
187,598,469,401,398,589,883,988,760,439,333,286,327,399
203,590,433,377,400,579,922,1148,966,624,385,343,347,412
