b=-12.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
31,369,531,663,816,1038,1370,1605,1737,2029,2091,2020,1306,605
50,1362,1472,1730,2097,2604,3137,3602,3931,4229,4212,3673,2670,1475
70,1537,1331,1251,1267,1528,1806,2488,2990,3319,3138,2699,1836,1093
94,1993,1953,2034,2228,2760,3168,3217,2837,2303,1867,1494,1120,839
110,1851,1806,2099,2633,2977,3009,2582,1997,1566,1154,991,796,697
130,2031,1914,1994,2207,2228,1707,1306,1035,951,787,631,559,550
150,1631,1775,2025,2068,1806,1202,882,626,540,464,384,375,432
178,3313,4140,4573,4566,3780,2963,2073,1419,1013,734,631,545,590
187,3531,4322,4811,4811,3990,2865,1967,1454,1033,800,654,600,537
203,3832,4743,5347,5442,4874,3791,2674,1681,1045,636,435,332,283
